"name","overallRating","responseRate","responseTime","revBased","numProierties","url","location","pID"
"Trails End Condos 504 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128222/","Trails End Condos 504 by Ski Country Resorts            Breckenridge, Colorado","p128222"
"(79) Half Dome","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583253/","(79) Half Dome            Wawona, California","p583253"
"Beachside Inn - 2 Queen Beds","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p66011/","Beachside Inn - 2 Queen Beds            Destin, Florida","p66011"
"Powderhorn Condos A202 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p132433/","Powderhorn Condos A202 by Ski Country Resorts            Breckenridge, Colorado","p132433"
"Sundowner T6 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128170/","Sundowner T6 by Ski Country Resorts            Breckenridge, Colorado","p128170"
"Hidden Dunes Villa 21","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p777148/","Hidden Dunes Villa 21            Miramar Beach, Florida","p777148"
"Summer Breeze Condominium 104","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68394/","Summer Breeze Condominium 104            Miramar Beach, Florida","p68394"
"Jade East Towers 0530","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p68348/","Jade East Towers 0530            Destin, Florida","p68348"
"Victorian Gables E by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p128232/","Victorian Gables E by Ski Country Resorts            Breckenridge, Colorado","p128232"
"Will-Mar (#35) 94051","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/eastham-vacation-rentals/p184695/","Will-Mar (#35) 94051            Eastham, Massachusetts","p184695"
"Hidden Dunes Villa 48","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p145285/","Hidden Dunes Villa 48            Miramar Beach, Florida","p145285"
"Powderhorn Condos A203 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126787/","Powderhorn Condos A203 by Ski Country Resorts            Breckenridge, Colorado","p126787"
"(1A) Wawona Retreat","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583178/","(1A) Wawona Retreat            Wawona, California","p583178"
"Mill Run Townhomes 4 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p1517766/","Mill Run Townhomes 4 by Ski Country Resorts            Breckenridge, Colorado","p1517766"
"(67) El Capitan","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583239/","(67) El Capitan            Wawona, California","p583239"
"San Remo Condominium 201","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/santa-rosa-beach-condo-rentals/p66061/","San Remo Condominium 201            Santa Rosa Beach, Florida","p66061"
"Park Meadows Lodge 7D by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128154/","Park Meadows Lodge 7D by Ski Country Resorts            Breckenridge, Colorado","p128154"
"Summer Breeze Condominium 304","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p66056/","Summer Breeze Condominium 304            Miramar Beach, Florida","p66056"
"Jade East Towers 0240","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p68343/","Jade East Towers 0240            Destin, Florida","p68343"
"Quiet Surf Townhomes II #3","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p68385/","Quiet Surf Townhomes II #3            Miramar Beach, Florida","p68385"
"Harborside 106985","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/provincetown-condo-rentals/p380352/","Harborside 106985            Provincetown, Massachusetts","p380352"
"Blue Surf Townhomes 15A","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p66016/","Blue Surf Townhomes 15A            Miramar Beach, Florida","p66016"
"Christiana Townhomes 1 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p126735/","Christiana Townhomes 1 by Ski Country Resorts            Breckenridge, Colorado","p126735"
"Sanctuary at Redfish 1109","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/santa-rosa-beach-condo-rentals/p353016/","Sanctuary at Redfish 1109            Santa Rosa Beach, Florida","p353016"
"(21) River Refuge","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583182/","(21) River Refuge            Wawona, California","p583182"
"(1L) The Tree House","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583179/","(1L) The Tree House            Wawona, California","p583179"
"River Park Townhomes 55B by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p1462515/","River Park Townhomes 55B by Ski Country Resorts            Breckenridge, Colorado","p1462515"
"Powderhorn Condos B104 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126788/","Powderhorn Condos B104 by Ski Country Resorts            Breckenridge, Colorado","p126788"
"(41R) Wawona Home","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583212/","(41R) Wawona Home            Wawona, California","p583212"
"(43A) Mountain Retreat","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583215/","(43A) Mountain Retreat            Wawona, California","p583215"
"(9) Boot's Haven","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583267/","(9) Boot's Haven            Wawona, California","p583267"
"Jade East Towers 0630","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p68350/","Jade East Towers 0630            Destin, Florida","p68350"
"Park Meadows Lodge 8C by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128157/","Park Meadows Lodge 8C by Ski Country Resorts            Breckenridge, Colorado","p128157"
"Beach Retreat 409","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p82177/","Beach Retreat 409            Miramar Beach, Florida","p82177"
"Trails End Condos 217 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p132436/","Trails End Condos 217 by Ski Country Resorts            Breckenridge, Colorado","p132436"
"Windancer Condo 212","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p66071/","Windancer Condo 212            Miramar Beach, Florida","p66071"
"Hidden Dunes Condominium 0906","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p378833/","Hidden Dunes Condominium 0906            Miramar Beach, Florida","p378833"
"(19B) Ackley's Place","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583177/","(19B) Ackley's Place            Wawona, California","p583177"
"Christiana Townhomes 2 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p126736/","Christiana Townhomes 2 by Ski Country Resorts            Breckenridge, Colorado","p126736"
"Ski Hill Condos 52 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128165/","Ski Hill Condos 52 by Ski Country Resorts            Breckenridge, Colorado","p128165"
"Crystal Village 01A","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68331/","Crystal Village 01A            Miramar Beach, Florida","p68331"
"Summer Breeze Condominium 202","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68398/","Summer Breeze Condominium 202            Miramar Beach, Florida","p68398"
"Waipouli #G-306: Enjoy tranquil sounds of Hawaii's Ocean while in every room!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/kapaa-condo-rentals/p29314/","Waipouli #G-306: Enjoy tranquil sounds of Hawaii's Ocean while in every room!            Kapaa, Hawaii","p29314"
"Hidden Dunes Cottage 131","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p777146/","Hidden Dunes Cottage 131            Miramar Beach, Florida","p777146"
"Ski Hill Condos 50 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128164/","Ski Hill Condos 50 by Ski Country Resorts            Breckenridge, Colorado","p128164"
"Sundowner T15 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p2245064/","Sundowner T15 by Ski Country Resorts            Breckenridge, Colorado","p2245064"
"Trails End Condos 510 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128218/","Trails End Condos 510 by Ski Country Resorts            Breckenridge, Colorado","p128218"
"(17B) Tyler's Timber Lodge","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p359127/","(17B) Tyler's Timber Lodge            Wawona, California","p359127"
"(1S) Cecil's Cabin","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583180/","(1S) Cecil's Cabin            Wawona, California","p583180"
"Ocean Mist Cottage","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p66050/","Ocean Mist Cottage            Destin, Florida","p66050"
"Tannenbaum 33 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128189/","Tannenbaum 33 by Ski Country Resorts            Breckenridge, Colorado","p128189"
"Grand Caribbean West 207","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p951916/","Grand Caribbean West 207            Destin, Florida","p951916"
"Whispering Pines - Cottage 13 126193","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/eastham-vacation-rentals/p1119379/","Whispering Pines - Cottage 13 126193            Eastham, Massachusetts","p1119379"
"Luxury Aspen Village Condo with Sports Center Amenities","4.5 / 5.0","n/a","n/a","278","68","https://www.flipkey.com/mccall-condo-rentals/p143940/","Luxury Aspen Village Condo with Sports Center Amenities            McCall, Idaho","p143940"
"NORTHSIDE DENNIS! MAYFLOWER BEACH!! 130751","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/dennis-vacation-rentals/p1870154/","NORTHSIDE DENNIS! MAYFLOWER BEACH!! 130751            Dennis, Massachusetts","p1870154"
"Hidden Dunes Cottage 217","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p652579/","Hidden Dunes Cottage 217            Miramar Beach, Florida","p652579"
"Park Meadows Lodge 1B by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126795/","Park Meadows Lodge 1B by Ski Country Resorts            Breckenridge, Colorado","p126795"
"Plantations #521: Paradise Relaxation w/AC and mountain views!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/princeville-condo-rentals/p29279/","Plantations #521: Paradise Relaxation w/AC and mountain views!            Princeville, Hawaii","p29279"
"(27A) Pine Crest","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583192/","(27A) Pine Crest            Wawona, California","p583192"
"Park Meadows Lodge 8B by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128156/","Park Meadows Lodge 8B by Ski Country Resorts            Breckenridge, Colorado","p128156"
"(64) River Lodge","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583237/","(64) River Lodge            Wawona, California","p583237"
"The Atrium 105 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p137103/","The Atrium 105 by Ski Country Resorts            Breckenridge, Colorado","p137103"
"Sawmill Patch Townhomes 105 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p173936/","Sawmill Patch Townhomes 105 by Ski Country Resorts            Breckenridge, Colorado","p173936"
"Sunkissed Cottage","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p29055/","Sunkissed Cottage            Destin, Florida","p29055"
"Lances West 1 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126769/","Lances West 1 by Ski Country Resorts            Breckenridge, Colorado","p126769"
"Park Meadows Lodge 6C  by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128149/","Park Meadows Lodge 6C  by Ski Country Resorts            Breckenridge, Colorado","p128149"
"Park Meadows Lodge 1C by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126796/","Park Meadows Lodge 1C by Ski Country Resorts            Breckenridge, Colorado","p126796"
"(93R) Deer Lodge","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583271/","(93R) Deer Lodge            Wawona, California","p583271"
"Crystal Villas A11","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p510107/","Crystal Villas A11            Destin, Florida","p510107"
"Miramar Beach Villas 102","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p448701/","Miramar Beach Villas 102            Miramar Beach, Florida","p448701"
"Winterpoint Townhomes 33 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p132439/","Winterpoint Townhomes 33 by Ski Country Resorts            Breckenridge, Colorado","p132439"
"Warrior's Mark Townhomes 3 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p31359/","Warrior's Mark Townhomes 3 by Ski Country Resorts            Breckenridge, Colorado","p31359"
"Tannenbaum by the River 102 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p468874/","Tannenbaum by the River 102 by Ski Country Resorts            Breckenridge, Colorado","p468874"
"Crystal Sands 217","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p66025/","Crystal Sands 217            Destin, Florida","p66025"
"355 Massasoit Trail 43375","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/eastham-vacation-rentals/p184551/","355 Massasoit Trail 43375            Eastham, Massachusetts","p184551"
"Ciboney Condominium 3012","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p66048/","Ciboney Condominium 3012            Miramar Beach, Florida","p66048"
"(5N) Edmond's Place","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583235/","(5N) Edmond's Place            Wawona, California","p583235"
"(42) River Vista","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583213/","(42) River Vista            Wawona, California","p583213"
"Sunset Townhomes 13 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p1553989/","Sunset Townhomes 13 by Ski Country Resorts            Breckenridge, Colorado","p1553989"
"Crystal View Condominium 402","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68330/","Crystal View Condominium 402            Miramar Beach, Florida","p68330"
"Harborside 124233","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/provincetown-condo-rentals/p926128/","Harborside 124233            Provincetown, Massachusetts","p926128"
"Park Meadows Lodge 2A by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126810/","Park Meadows Lodge 2A by Ski Country Resorts            Breckenridge, Colorado","p126810"
"Trails End Condos 411 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p132435/","Trails End Condos 411 by Ski Country Resorts            Breckenridge, Colorado","p132435"
"Beachside Inn - 2 Queen Beds","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p68316/","Beachside Inn - 2 Queen Beds            Destin, Florida","p68316"
"Summer Breeze Condominium 212","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68404/","Summer Breeze Condominium 212            Miramar Beach, Florida","p68404"
"Hidden Dunes Cottage 185","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p623802/","Hidden Dunes Cottage 185            Miramar Beach, Florida","p623802"
"Jade East Towers 0510","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p624946/","Jade East Towers 0510            Destin, Florida","p624946"
"Tannenbaum by the River 302AC by Ski Country","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126701/","Tannenbaum by the River 302AC by Ski Country            Breckenridge, Colorado","p126701"
"Pluto's Playhouse - 5 bedrooms with private pool","2.3 / 5.0","n/a","n/a","3","35","https://www.flipkey.com/kissimmee-vacation-rentals/p1451886/","Pluto's Playhouse - 5 bedrooms with private pool            Kissimmee, Florida","p1451886"
"Pavilion Palms 104A","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p2083642/","Pavilion Palms 104A            Miramar Beach, Florida","p2083642"
"Waipouli #A-303: 2bdr/3 bath on Beach Front Resort","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/kapaa-condo-rentals/p344225/","Waipouli #A-303: 2bdr/3 bath on Beach Front Resort            Kapaa, Hawaii","p344225"
"Hidden Dunes Cottage 224","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p353750/","Hidden Dunes Cottage 224            Miramar Beach, Florida","p353750"
"Trails End Condos 210 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128204/","Trails End Condos 210 by Ski Country Resorts            Breckenridge, Colorado","p128204"
"Winterpoint Townhomes 37 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p128236/","Winterpoint Townhomes 37 by Ski Country Resorts            Breckenridge, Colorado","p128236"
"Trinidad At Port-of-Call","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-vacation-rentals/p66053/","Trinidad At Port-of-Call            Miramar Beach, Florida","p66053"
"The Woods Townhomes 111 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p1011203/","The Woods Townhomes 111 by Ski Country Resorts            Breckenridge, Colorado","p1011203"
"Costa Del Sol C5","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p261810/","Costa Del Sol C5            Miramar Beach, Florida","p261810"
"Pali Ke Kua #241: Ocean  rates!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/princeville-condo-rentals/p29293/","Pali Ke Kua #241: Ocean  rates!            Princeville, Hawaii","p29293"
"Kauai Tree House: Beautiful Wainiha Home in Lush & Tropical Surroundings!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/hanalei-vacation-rentals/p340093/","Kauai Tree House: Beautiful Wainiha Home in Lush & Tropical Surroundings!            Hanalei, Hawaii","p340093"
"(51) Mia Mora","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p583229/","(51) Mia Mora            Wawona, California","p583229"
"Jade East Towers 0110","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p68338/","Jade East Towers 0110            Destin, Florida","p68338"
"Aspen Lodge by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p1461524/","Aspen Lodge by Ski Country Resorts            Breckenridge, Colorado","p1461524"
"Hidden Dunes Cottage 228","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p468254/","Hidden Dunes Cottage 228            Miramar Beach, Florida","p468254"
"Dolphins Cottage","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p29074/","Dolphins Cottage            Destin, Florida","p29074"
"Beach Resort 306","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p68289/","Beach Resort 306            Miramar Beach, Florida","p68289"
"Hidden Dunes Condominium 0604","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p290511/","Hidden Dunes Condominium 0604            Miramar Beach, Florida","p290511"
"St. Lucia at Silver Shells 1105","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p267081/","St. Lucia at Silver Shells 1105            Destin, Florida","p267081"
"Trails End Condos 315 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128210/","Trails End Condos 315 by Ski Country Resorts            Breckenridge, Colorado","p128210"
"Trails End Condos 103 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128197/","Trails End Condos 103 by Ski Country Resorts            Breckenridge, Colorado","p128197"
"DOG FRIENDLY Mid-Cape FOUR Bedroom GEM! 134341","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/west-yarmouth-vacation-rentals/p2510068/","DOG FRIENDLY Mid-Cape FOUR Bedroom GEM! 134341            West Yarmouth, Massachusetts","p2510068"
"Chimney Ridge Townhomes 500 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p126752/","Chimney Ridge Townhomes 500 by Ski Country Resorts            Breckenridge, Colorado","p126752"
"Makala'e: Luxurious 5 bed/5 bath Ocean View Villa!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/koloa-vacation-rentals/p609402/","Makala'e: Luxurious 5 bed/5 bath Ocean View Villa!            Koloa, Hawaii","p609402"
"Winterpoint Townhomes 44 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p128240/","Winterpoint Townhomes 44 by Ski Country Resorts            Breckenridge, Colorado","p128240"
"Winterpoint Townhomes 33B by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p250174/","Winterpoint Townhomes 33B by Ski Country Resorts            Breckenridge, Colorado","p250174"
"Hidden Dunes Condominium 1700","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p2120871/","Hidden Dunes Condominium 1700            Miramar Beach, Florida","p2120871"
"(23A) Big Cedar","4.4 / 5.0","n/a","n/a","189","118","https://www.flipkey.com/wawona-vacation-rentals/p359103/","(23A) Big Cedar            Wawona, California","p359103"
"Sanctuary at Redfish 3113","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/santa-rosa-beach-condo-rentals/p1598029/","Sanctuary at Redfish 3113            Santa Rosa Beach, Florida","p1598029"
"60 Billingsgate Avenue 122925","4.5 / 5.0","n/a","n/a","181","568","https://www.flipkey.com/eastham-vacation-rentals/p803521/","60 Billingsgate Avenue 122925            Eastham, Massachusetts","p803521"
"Woodland Shores Townhome 27","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-cottage-rentals/p385241/","Woodland Shores Townhome 27            Miramar Beach, Florida","p385241"
"Chateau La Mer 1204","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p1910517/","Chateau La Mer 1204            Destin, Florida","p1910517"
"Powderhorn Condos C304 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p126802/","Powderhorn Condos C304 by Ski Country Resorts            Breckenridge, Colorado","p126802"
"Longbranch 215 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p31246/","Longbranch 215 by Ski Country Resorts            Breckenridge, Colorado","p31246"
"Waipouli #G-404: Enjoy tranquil sounds of Hawaii's Ocean from every room!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/kapaa-condo-rentals/p29309/","Waipouli #G-404: Enjoy tranquil sounds of Hawaii's Ocean from every room!            Kapaa, Hawaii","p29309"
"Jade East Towers 0310","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p68344/","Jade East Towers 0310            Destin, Florida","p68344"
"Mainridge Townhomes D by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-vacation-rentals/p31248/","Mainridge Townhomes D by Ski Country Resorts            Breckenridge, Colorado","p31248"
"Pu'u Poa #305: Amazing Ocean Views. Watch the sun set in the Bali Hai Coast!","4.6 / 5.0","30%","Within a day","561","34","https://www.flipkey.com/princeville-condo-rentals/p29291/","Pu'u Poa #305: Amazing Ocean Views. Watch the sun set in the Bali Hai Coast!            Princeville, Hawaii","p29291"
"Tannenbaum by the River 304 by Ski Country Resorts","4.1 / 5.0","100%","A few hours","1,386","158","https://www.flipkey.com/breckenridge-condo-rentals/p128180/","Tannenbaum by the River 304 by Ski Country Resorts            Breckenridge, Colorado","p128180"
"Hudson's Blenheim House","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-vacation-rentals/p66033/","Hudson's Blenheim House            Destin, Florida","p66033"
"Martins on the River - Relax and enjoy this Log Cabin nestled in the Pines","4.5 / 5.0","n/a","n/a","278","68","https://www.flipkey.com/mccall-cabin-rentals/p27925/","Martins on the River - Relax and enjoy this Log Cabin nestled in the Pines            McCall, Idaho","p27925"
"Pavilion Palms 104C","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/miramar-beach-condo-rentals/p66039/","Pavilion Palms 104C            Miramar Beach, Florida","p66039"
"Comfortable Aspens Condo, walk to Downtown and beach.","4.5 / 5.0","n/a","n/a","278","68","https://www.flipkey.com/mccall-condo-rentals/p27888/","Comfortable Aspens Condo, walk to Downtown and beach.            McCall, Idaho","p27888"
"Jade East Towers 1950","4.4 / 5.0","n/a","n/a","2,815","206","https://www.flipkey.com/destin-condo-rentals/p66036/","Jade East Towers 1950            Destin, Florida","p66036"
